data;data_info;localizacao;magnitude;profundidade
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;28/02/2022;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;28/02/2022;2022-02-28
;;;;2022-02-28
;;;04/03/2022;2022-03-04
;;;28/02/2022;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;28/02/2022;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;;2022-02-25
;;;28/02/2022;2022-02-28
;;;;2022-02-28
;;;04/03/2022;2022-03-04
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
